status,source,repo_path,wer,language_probability,missing_words,extra_words,expected,transcript
SUSPECT,CEO 71,audio/b2/tache3-16-inta-gration-et-identita-03-concretement-une-societe-est-plus-coherente-lorsque-chacun-accep.mp3,0.1667,1.0,coherente,les coherentes,"Concrètement, une société est plus cohérente lorsque chacun accepte un cadre commun.","Concrètement, une société est les plus cohérentes lorsque chacun accepte un cadre commun."
SUSPECT,dialogue_12 answer,audio/b2/dialogue/answer-y-a-t-il-une-habitude-que-vous-aimeriez-changer.mp3,0.1538,1.0,quinze seraient efficaces,serait il efficace,J'aimerais être plus régulier dans ma pratique du français. Même quinze minutes par jour seraient plus efficaces qu'une longue séance de temps en temps.,J'aimerais être plus régulier dans ma pratique du français. Même 15 minutes par jour serait-il plus efficace qu'une longue séance de temps en temps ?
SUSPECT,dialogue_03 teacher,audio/b2/dialogue/teacher-comment-vous-decririez-vous-en-quelques-mots.mp3,0.1429,1.0,decririez,decrireiez,Comment vous décririez-vous en quelques mots ?,Comment vous décrireiez-vous en quelques mots ?
SUSPECT,dialogue_31 answer,audio/b2/dialogue/answer-etes-vous-plutot-du-matin-ou-du-soir.mp3,0.08,1.0,plutot,plus tot,"Je suis plutôt du matin, car je me concentre mieux au début de la journée. J'essaie donc de traiter les tâches importantes assez tôt.","Je suis plus tôt du matin car je me concentre mieux au début de la journée, j'essaie donc de traiter les tâches importantes assez tôt."
REVIEW,dialogue_07 answer,audio/b2/dialogue/answer-pourquoi-apprenez-vous-le-francais.mp3,0.0345,1.0,vis,vise,"J'apprends le français parce que je vis au Canada. Cette langue est utile dans la vie quotidienne et professionnelle, et elle m'aide aussi à mieux m'intégrer.","J'apprends le français parce que je vise au Canada. Cette langue est utile dans la vie quotidienne et professionnelle, et elle m'aide aussi à mieux m'intégrer."
REVIEW,dialogue_02 answer,audio/b2/dialogue/answer-depuis-combien-de-temps-vivez-vous-au-canada.mp3,0.0312,1.0,quelque,quelques,"Je vis au Canada depuis quelque temps. Au début, j'ai dû m'adapter à un nouvel environnement, mais aujourd'hui je m'y sens de plus en plus à l'aise.","Je vis au Canada depuis quelques temps. Au début, j'ai dû m'adapter à un nouvel environnement, mais aujourd'hui, je m'y sens de plus en plus à l'aise."
PASS,CEO 17,audio/b2/tache1-05-pourquoi-le-canada-le-frana-ais-01-j-apprends-le-francais-parce-que-je-veux-mieux-communiquer-et-co.mp3,0.0,1.0,,,J'apprends le français parce que je veux mieux communiquer et construire un projet durable au Canada.,J'apprends le français parce que je veux mieux communiquer et construire un projet durable au Canada.
PASS,CEO 27,audio/b2/tache2-07-c-e-e-a-a-03-pour-eviter-de-mal-comprendre-j-aimerais-vous-poser-quelques-que.mp3,0.0,1.0,,,"Pour éviter de mal comprendre, j'aimerais vous poser quelques questions précises avant de prendre une décision.","Pour éviter de mal comprendre, j'aimerais vous poser quelques questions précises avant de prendre une décision."
PASS,CEO 57,audio/b2/questions-29-relances-intelligentes-04-y-a-t-il-un-inconvenient-auquel-je-devrais-faire-attention-avant.mp3,0.0,1.0,,,Y a-t-il un inconvénient auquel je devrais faire attention avant de décider ?,Y a-t-il un inconvénient auquel je devrais faire attention avant de décider ?
PASS,CEO 72,audio/b2/tache3-16-inta-gration-et-identita-04-en-meme-temps-elle-est-aussi-plus-riche-lorsque-les-differences.mp3,0.0,1.0,,,"En même temps, elle est aussi plus riche lorsque les différences peuvent s'exprimer sans être vues comme une menace.","En même temps, elle est aussi plus riche lorsque les différences peuvent s'exprimer sans être vues comme une menace."
